model,pr_auc,pr_auc_lift,roc_auc,ks_statistic,capture_at_10pct,lift_at_10pct,capture_at_20pct,brier,ece,f1,precision,recall
ensemble,0.1528,2.93,0.7613,0.3958,0.3213,3.21,0.5152,0.3606,0.5422,0.1356,0.0731,0.9373
xgboost,0.1494,2.86,0.7551,0.3804,0.3213,3.21,0.4995,0.1571,0.3089,0.2068,0.1277,0.5426
logistic_regression,0.1167,2.24,0.7158,0.3244,0.2507,2.51,0.4339,0.4029,0.5722,0.1271,0.0681,0.9442
lightgbm,0.0884,1.69,0.636,0.1914,0.2076,2.08,0.335,0.0544,0.0563,0.0058,0.2308,0.0029
random_forest,0.0527,1.01,0.5249,0.0869,0.0881,0.88,0.1694,0.1869,0.3557,0.0698,0.0441,0.1675
